S0,S1,S2,S3,S4,S5,S6,S7,,,,,,
1,0,0,0,0,0,0,0,,,,,,
2,2,1.9982,1.99893,2.16092,0.901818,0.901818,0.910092,,,,,,
3,6,5.99653,5.99758,6.62505,2.77398,2.74531,2.77959,,,,,,
4,12,11.9905,11.9925,13.3889,5.7422,5.61368,5.70542,,,,,,
5,20,19.9545,19.9873,22.4376,9.86608,9.55959,9.75591,,,,,,
6,30,29.8377,29.9696,33.7564,15.2249,14.6207,15.0018,,,,,,
7,42,41.5656,41.9105,47.3149,21.9002,20.8851,21.513,,,,,,
8,56,55.0644,55.7704,63.0569,29.9444,28.417,29.3783,,,,,,
9,72,70.2624,71.5004,80.9042,39.3903,37.2403,38.6437,,,,,,
10,90,87.1058,89.0401,100.776,50.2541,47.4018,49.3487,,,,,,
11,110,105.557,108.337,122.57,62.5383,58.9392,61.5372,,,,,,
12,132,125.589,129.34,146.216,76.2381,71.8747,75.2418,,,,,,
13,156,147.184,152.012,171.636,91.3591,86.2126,90.48,,,,,,
14,182,170.327,176.31,198.777,107.891,101.962,107.261,,,,,,
15,210,195.012,202.212,227.589,125.836,119.137,125.586,,,,,,
16,240,221.239,229.7,258.043,145.192,137.736,145.454,,,,,,
17,272,249.015,258.754,290.116,165.955,157.759,166.856,,,,,,
18,306,278.344,289.365,323.745,188.123,179.204,189.785,,,,,,
19,342,309.231,321.528,358.941,211.693,202.067,214.229,,,,,,
20,380,341.679,355.24,395.702,236.663,226.346,240.171,,,,,,
21,420,375.694,390.497,434.022,263.033,252.037,267.604,,,,,,
22,462,411.279,427.299,473.872,290.801,279.137,296.516,,,,,,
23,506,448.438,465.645,515.262,319.967,307.645,326.898,,,,,,
24,552,487.174,505.539,558.202,350.53,337.558,358.74,,,,,,
25,600,527.49,546.982,602.691,382.49,368.873,392.032,,,,,,
26,650,569.389,589.981,648.732,415.847,401.59,426.766,,,,,,
27,702,612.872,634.54,696.327,450.6,435.709,462.934,,,,,,
28,756,657.943,680.663,745.479,486.749,471.227,500.529,,,,,,
29,812,704.603,728.351,796.192,524.295,508.145,539.546,,,,,,
30,870,752.852,777.608,846.934,563.237,546.462,579.973,,,,,,
31,930,802.693,828.437,895.652,603.575,586.176,621.805,,,,,,
32,992,854.126,878.76,940.773,645.309,627.289,665.042,,,,,,
33,1056,905.495,926.329,979.282,688.439,669.798,709.684,,,,,,
34,1122,951.279,967.196,1008.73,732.965,713.705,755.583,,,,,,
35,1190,982.894,994.873,1025.85,778.887,759.008,801.333,,,,,,
36,1225,989.562,1000.6,1029.24,803.921,783.609,824.798,,,,,,
37,0,0,0,0,0,0,0,,,,,,
38,2,1.9982,1.99893,1.99944,1.65486,1.78807,1.82504,,,,,,
39,6,5.99653,5.99758,6.08504,4.55427,5.00143,5.04993,,,,,,
40,12,11.9877,11.9925,12.3814,8.64565,9.46743,9.5097,,,,,,
41,20,19.9419,19.9873,20.9453,13.9895,15.0841,15.1837,,,,,,
42,30,29.8042,29.9624,31.7795,20.6489,21.9255,22.1107,,,,,,
43,42,41.4982,41.8885,44.8533,28.6691,30.0537,30.3906,,,,,,
44,56,54.9518,55.7238,60.1093,38.0737,39.4985,40.078,,,,,,
45,72,70.0965,71.4182,77.4729,48.8549,50.2626,51.1875,,,,,,
46,90,86.8803,88.9109,96.8588,61.0303,62.3731,63.7715,,,,,,
47,110,105.269,108.15,118.18,74.6176,75.8559,77.8569,,,,,,
48,132,125.237,129.089,141.364,89.6168,90.7399,93.4447,,,,,,
49,156,146.768,151.689,166.316,106.026,107.032,110.563,,,,,,
50,182,169.852,175.913,193.006,123.843,124.737,129.213,,,,,,
51,210,194.48,201.736,221.386,143.066,143.856,149.394,,,,,,
52,240,220.651,229.143,251.391,163.692,164.387,171.097,,,,,,
53,272,248.37,258.119,283,185.719,186.33,194.314,,,,,,
54,306,277.645,288.649,316.199,209.147,209.683,219.036,,,,,,
55,342,308.479,320.733,350.981,233.974,234.444,245.253,,,,,,
56,380,340.876,354.367,387.321,260.199,260.612,272.955,,,,,,
57,420,374.841,389.55,425.212,287.822,288.184,302.132,,,,,,
58,462,410.378,426.279,464.66,316.842,317.159,332.773,,,,,,
59,506,447.489,464.556,505.66,347.259,347.537,364.867,,,,,,
60,552,486.179,504.386,548.211,379.072,379.315,398.4,,,,,,
61,600,526.449,545.758,592.315,412.282,412.494,433.367,,,,,,
62,650,568.303,588.694,637.964,446.888,447.071,469.764,,,,,,
63,702,611.743,633.19,685.166,482.891,483.047,507.585,,,,,,
64,756,656.77,679.249,733.926,520.29,520.421,546.826,,,,,,
65,812,703.386,726.874,784.248,559.084,559.193,587.477,,,,,,
66,870,751.593,776.07,835.15,599.275,599.362,629.531,,,,,,
67,930,801.391,826.838,884.272,640.862,640.928,672.992,,,,,,
68,992,852.782,877.122,930.071,683.845,683.891,717.857,,,,,,
69,1056,904.136,924.59,969.895,728.224,728.25,763.781,,,,,,
70,1122,949.838,965.303,1000.86,773.999,774.006,809.205,,,,,,
71,1190,981.417,992.519,1019.93,812.632,802.209,838.963,,,,,,
72,1225,988.688,999.251,1026.48,823.437,810.873,846.418,,,,,,
73,0,0,0,0,0,0,0,,,,,,
74,2,1.9982,1.99893,1.99944,1.90636,1.9635,1.9736,,,,,,
75,6,5.99653,5.99758,6.01161,5.43558,5.72662,5.75495,,,,,,
76,12,11.9782,11.9925,12.0992,10.3448,11.0231,11.0631,,,,,,
77,20,19.9021,19.9806,20.3374,16.56,17.7265,17.7734,,,,,,
78,30,29.7023,29.9352,30.7702,24.1129,25.79,25.8606,,,,,,
79,42,41.2981,41.8163,43.3845,33.0229,35.2058,35.3413,,,,,,
80,56,54.6225,55.5762,58.1397,43.3046,45.978,46.2417,,,,,,
81,72,69.6166,71.1629,74.9629,54.967,58.1133,58.5855,,,,,,
82,90,86.2318,88.5163,93.7814,68.0162,71.6179,72.3919,,,,,,
83,110,104.444,107.588,114.51,82.4555,86.4813,87.6745,,,,,,
84,132,124.232,128.334,137.082,98.2872,102.71,104.442,,,,,,
85,156,145.585,150.726,161.448,115.513,120.321,122.698,,,,,,
86,182,168.494,174.737,187.519,134.133,139.318,142.441,,,,,,
87,210,192.959,200.332,215.254,154.148,159.703,163.673,,,,,,
88,240,218.975,227.506,244.645,175.559,181.479,186.388,,,,,,
89,272,246.548,256.25,275.651,198.365,204.645,210.582,,,,,,
90,306,275.677,286.555,308.26,222.567,229.204,236.249,,,,,,
91,342,306.364,318.409,342.458,248.165,255.156,263.38,,,,,,
92,380,338.617,351.818,378.23,275.159,282.502,291.97,,,,,,
93,420,372.442,386.78,415.556,303.549,311.242,322.006,,,,,,
94,462,407.843,423.295,454.416,333.335,341.377,353.479,,,,,,
95,506,444.821,461.366,494.836,364.517,372.907,386.391,,,,,,
96,552,483.38,500.994,536.811,397.094,405.832,420.734,,,,,,
97,600,523.522,542.161,580.337,431.068,440.153,456.504,,,,,,
98,650,565.25,584.916,625.42,466.438,475.869,493.695,,,,,,
99,702,608.565,629.231,672.067,503.204,512.98,532.305,,,,,,
100,756,653.469,675.112,720.279,541.366,551.488,572.328,,,,,,
101,812,699.963,722.561,770.06,580.923,591.391,613.761,,,,,,
102,870,748.049,771.584,820.869,621.877,632.69,656.602,,,,,,
103,930,797.727,822.181,870.301,664.227,675.385,700.848,,,,,,
104,992,848.998,872.424,916.46,707.973,719.475,746.498,,,,,,
105,1056,900.337,919.605,957.13,753.115,764.962,791.848,,,,,,
106,1122,945.814,959.817,988.849,799.652,804.293,833.013,,,,,,
107,1190,977.092,986.637,1009.06,830.484,826.658,856.255,,,,,,
108,1225,985.603,994.414,1016.6,839.956,834.999,862.936,,,,,,
109,0,0,0,0,0,0,0,,,,,,
110,2,1.9982,1.99893,1.99944,1.97489,1.99374,1.99615,,,,,,
111,6,5.99381,5.99758,6.00044,5.78266,5.92516,5.93715,,,,,,
112,12,11.9567,11.9925,12.0204,11.181,11.6445,11.6681,,,,,,
113,20,19.8248,19.9639,20.0964,18.0374,19,19.0298,,,,,,
114,30,29.5188,29.8757,30.254,26.2875,27.8803,27.9184,,,,,,
115,42,40.9545,41.6718,42.4868,35.9031,38.1921,38.2787,,,,,,
116,56,54.0737,55.2974,56.7662,46.8745,49.8893,50.0687,,,,,,
117,72,68.834,70.6996,73.0369,59.2013,62.9332,63.2813,,,,,,
118,90,85.1935,87.8239,91.2296,72.8878,77.3183,77.9232,,,,,,
119,110,103.136,106.619,111.292,87.9398,93.0566,93.9855,,,,,,
120,132,122.652,127.061,133.162,104.363,110.149,111.491,,,,,,
121,156,143.734,149.121,156.762,122.164,128.597,130.444,,,,,,
122,182,166.378,172.784,182.085,141.346,148.407,150.845,,,,,,
123,210,190.583,198.034,209.092,161.913,169.582,172.694,,,,,,
124,240,216.351,224.855,237.723,183.867,192.127,195.994,,,,,,
125,272,243.684,253.235,267.975,207.212,216.045,220.741,,,,,,
126,306,272.583,283.179,299.803,231.949,241.342,246.934,,,,,,
127,342,303.053,314.685,333.225,258.078,268.019,274.569,,,,,,
128,380,335.096,347.751,368.218,285.601,296.08,303.643,,,,,,
129,420,368.715,382.374,404.792,314.519,325.527,334.141,,,,,,
130,462,403.912,418.554,442.94,344.831,356.362,366.064,,,,,,
131,506,440.691,456.296,482.661,376.539,388.587,399.408,,,,,,
132,552,479.054,495.603,523.952,409.642,422.202,434.172,,,,,,
133,600,519.003,536.477,566.814,444.141,457.209,470.355,,,,,,
134,650,560.539,578.916,611.247,480.035,493.609,507.954,,,,,,
135,702,603.665,622.93,657.253,517.325,531.403,546.966,,,,,,
136,756,648.381,668.517,704.833,556.011,570.59,587.384,,,,,,
137,812,694.689,715.681,753.989,596.093,611.172,629.205,,,,,,
138,870,742.59,764.422,804.714,637.571,653.149,672.432,,,,,,
139,930,792.083,814.742,854.083,680.445,696.52,717.064,,,,,,
140,992,843.171,865.08,900.657,724.714,741.287,762.647,,,,,,
141,1056,894.607,911.858,941.292,770.38,786.848,807.045,,,,,,
142,1122,939.993,951.428,973.721,814.935,822.236,844.338,,,,,,
143,1190,971.067,977.488,994.054,843.084,844.558,866.387,,,,,,
144,1225,980.389,985.846,1002.54,852.309,852.314,871.403,,,,,,
145,0,0,0,0,0,0,0,,,,,,
146,2,1.9982,1.99893,1.99944,1.99327,1.99893,1.99944,,,,,,
147,6,5.98662,5.99758,5.99596,5.91473,5.97961,5.98406,,,,,,
148,12,11.9107,11.9829,11.992,11.591,11.8698,11.8826,,,,,,
149,20,19.6812,19.92,19.9765,18.8458,19.5483,19.5702,,,,,,
150,30,29.2073,29.7505,29.9355,27.553,28.8794,28.9152,,,,,,
151,42,40.4068,41.3988,41.8388,37.6402,39.7279,39.7988,,,,,,
152,56,53.2331,54.8057,55.6614,49.0688,51.994,52.1304,,,,,,
153,72,67.664,69.9225,71.3619,61.824,65.6441,65.8804,,,,,,
154,90,83.6823,86.7094,88.8836,75.9181,80.6477,81.0317,,,,,,
155,110,101.27,105.111,108.184,91.3591,96.9899,97.577,,,,,,
156,132,120.421,125.12,129.237,108.145,114.666,115.51,,,,,,
157,156,141.14,146.719,152.02,126.297,133.676,134.838,,,,,,
158,182,163.429,169.9,176.459,145.822,154.026,155.566,,,,,,
159,210,187.288,194.659,202.532,166.725,175.722,177.7,,,,,,
160,240,212.719,220.991,230.252,189.012,198.77,201.242,,,,,,
161,272,239.724,248.893,259.602,212.685,223.177,226.19,,,,,,
162,306,268.305,278.363,290.558,237.747,248.949,252.533,,,,,,
163,342,298.465,309.401,323.077,264.2,276.092,280.307,,,,,,
164,380,330.207,342.007,357.186,292.046,304.609,309.452,,,,,,
165,420,363.532,376.18,392.886,321.285,334.505,339.971,,,,,,
166,462,398.442,411.911,430.176,351.918,365.784,371.899,,,,,,
167,506,434.939,449.214,469.051,383.946,398.447,405.236,,,,,,
168,552,473.025,488.092,509.511,417.369,432.497,439.984,,,,,,
169,600,512.7,528.545,551.548,452.188,467.936,476.141,,,,,,
170,650,553.967,570.574,595.162,488.402,504.766,513.707,,,,,,
171,702,596.825,614.182,640.363,526.011,542.987,552.682,,,,,,
172,756,641.276,659.372,687.151,565.017,582.6,593.065,,,,,,
173,812,687.32,706.145,735.529,605.418,623.607,634.855,,,,,,
174,870,734.959,754.502,785.496,647.215,666.008,678.052,,,,,,
175,930,784.193,804.443,835.367,690.408,709.802,722.656,,,,,,
176,992,835.022,854.802,881.738,734.997,754.992,767.746,,,,,,
177,1056,886.641,901.158,922.339,780.982,799.327,810.377,,,,,,
178,1122,931.894,940.182,955.209,824.161,834.333,845.72,,,,,,
179,1190,963.242,965.828,975.879,851.687,856.206,867.566,,,,,,
180,1225,972.69,974.189,984.716,858.532,862.831,872.307,,,,,,
181,0,0,0,0,0,0,0,,,,,,
182,2,1.9982,1.99893,1.99944,1.99716,1.99893,1.99944,,,,,,
183,6,5.96746,5.99386,5.99596,5.95086,5.99062,5.99319,,,,,,
184,12,11.8133,11.9543,11.9649,11.7169,11.9265,11.9377,,,,,,
185,20,19.4173,19.8157,19.858,19.1088,19.7021,19.7299,,,,,,
186,30,28.689,29.4931,29.6133,27.9777,29.1782,29.2297,,,,,,
187,42,39.5596,40.8929,41.1686,38.2306,40.2063,40.2926,,,,,,
188,56,51.9899,53.9578,54.4932,49.8144,52.6821,52.8099,,,,,,
189,72,65.9879,68.6526,69.5664,62.7212,66.5498,66.7307,,,,,,
190,90,81.5526,84.9524,86.3513,76.9464,81.7708,82.0196,,,,,,
191,110,98.686,102.839,104.82,92.511,98.3252,98.6501,,,,,,
192,132,117.391,122.286,124.944,109.426,116.206,116.621,,,,,,
193,156,137.67,143.283,146.724,127.7,135.413,135.939,,,,,,
194,182,159.527,165.851,170.148,147.343,155.952,156.61,,,,,,
195,210,182.964,189.986,195.212,168.362,177.83,178.642,,,,,,
196,240,207.979,215.683,221.886,190.761,201.053,202.032,,,,,,
197,272,234.573,242.953,250.157,214.545,225.629,226.79,,,,,,
198,306,262.754,271.798,280.035,239.717,251.566,252.924,,,,,,
199,342,292.523,302.22,311.524,266.279,278.869,280.44,,,,,,
